[2024-12-03T14:30:24.741+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-03T14:30:24.762+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: kafka_to_minio.consume_kafka_to_minio manual__2024-12-03T14:30:20.600474+00:00 [queued]>
[2024-12-03T14:30:24.775+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: kafka_to_minio.consume_kafka_to_minio manual__2024-12-03T14:30:20.600474+00:00 [queued]>
[2024-12-03T14:30:24.776+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-03T14:30:24.793+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): consume_kafka_to_minio> on 2024-12-03 14:30:20.600474+00:00
[2024-12-03T14:30:24.799+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2691) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-03T14:30:24.801+0000] {standard_task_runner.py:72} INFO - Started process 2692 to run task
[2024-12-03T14:30:24.802+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'kafka_to_minio', 'consume_kafka_to_minio', 'manual__2024-12-03T14:30:20.600474+00:00', '--job-id', '49', '--raw', '--subdir', 'DAGS_FOLDER/dag2_Kafkas3.py', '--cfg-path', '/tmp/tmps1fngr57']
[2024-12-03T14:30:24.804+0000] {standard_task_runner.py:105} INFO - Job 49: Subtask consume_kafka_to_minio
[2024-12-03T14:30:24.857+0000] {task_command.py:467} INFO - Running <TaskInstance: kafka_to_minio.consume_kafka_to_minio manual__2024-12-03T14:30:20.600474+00:00 [running]> on host 31ac0cc6adcb
[2024-12-03T14:30:24.970+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='kafka_to_minio' AIRFLOW_CTX_TASK_ID='consume_kafka_to_minio' AIRFLOW_CTX_EXECUTION_DATE='2024-12-03T14:30:20.600474+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-03T14:30:20.600474+00:00'
[2024-12-03T14:30:24.972+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-03T14:30:27.998+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:30:31.001+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:30:34.002+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:30:37.004+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:30:40.007+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:30:43.008+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:30:46.010+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:30:49.013+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:30:52.014+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:30:55.016+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:30:58.018+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:01.021+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:04.030+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:07.031+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:10.033+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:13.036+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:16.038+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:19.039+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:22.043+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:25.045+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:28.047+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:31.049+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:34.055+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:37.058+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:40.060+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:43.065+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:46.067+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T14:31:49.069+0000] {logging_mixin.py:190} INFO - нет сообщений
